Gene symbol,Gene name,Significant temporal comparisons:,logFC: 0 vs 2h,logFC: 0 vs 4h,logFC: 0 vs 6h,logFC: 0 vs 8h,logFC: 2 vs 4h,logFC: 2 vs 6h,logFC: 2 vs 8h,logFC: 4 vs 6h,logFC: 4 vs 8h,logFC: 6 vs 8h
LOC102655306,uncharacterized LOC102655306,0 vs 8; 2 vs 8; 6 vs 8,0.03,0.16,0.37,0.64,0.13,0.34,0.61,0.21,0.48,-0.49
LOC725570,tumor necrosis factor alpha-induced protein 8-like protein,0 vs 8; 2 vs 8; 6 vs 8,-0.05,0.15,0.28,0.56,0.2,0.33,0.61,0.13,0.41,-0.47
LOC413553,zinc transporter ZIP1-like,0 vs 8; 2 vs 8; 6 vs 8,0.03,0.23,0.34,0.59,0.2,0.31,0.56,0.11,0.36,-0.56
LOC408449,thyrotroph embryonic factor,0 vs 8; 2 vs 8; 6 vs 8,0.23,0.4,0.82,1.16,0.17,0.58,0.92,0.41,0.75,-1.09
LOC412287,peptidyl-prolyl cis-trans isomerase FKBP4,0 vs 8; 2 vs 8; 6 vs 8,0.05,-0.11,-0.35,-0.48,-0.16,-0.4,-0.53,-0.25,-0.37,0.5
LOC726542,histone H3,0 vs 8; 2 vs 8; 6 vs 8,-0.11,0.12,0.32,0.44,0.23,0.43,0.55,0.2,0.32,-0.53
LOC102655141,mitochondrial GTPase 1,0 vs 8; 2 vs 8; 6 vs 8,0.01,0.21,0.31,0.36,0.2,0.3,0.35,0.09,0.14,-0.42
LOC410278,putative inorganic phosphate cotransporter,0 vs 8; 2 vs 8; 6 vs 8,-0.24,0.27,0.09,0.62,0.51,0.33,0.86,-0.18,0.34,-0.78
LOC413614,ras-related protein Rab-14,0 vs 8; 2 vs 8; 6 vs 8,-0.03,0.07,0.15,0.21,0.1,0.18,0.24,0.07,0.13,-0.33
LOC408782,tubulin beta-1,0 vs 8; 2 vs 8; 6 vs 8,0.14,-0.07,-0.46,-0.55,-0.2,-0.6,-0.68,-0.39,-0.48,0.66
LOC410741,proton-coupled amino acid transporter-like protein pathetic,0 vs 8; 2 vs 8; 6 vs 8,-0.07,0.22,0.34,0.36,0.29,0.41,0.43,0.12,0.14,-0.53
LOC413549,chondroitin sulfate synthase 1,2 vs 6; 2 vs 8; 6 vs 8,0.3,-0.07,-0.24,-0.19,-0.37,-0.53,-0.49,-0.17,-0.12,0.43
LOC409518,uncharacterized LOC409518,2 vs 6; 2 vs 8; 6 vs 8,-0.3,0.05,0.2,0.18,0.35,0.5,0.48,0.15,0.13,-0.46
LOC724852,LHFPL tetraspan subfamily member 6 protein,2 vs 6; 2 vs 8; 6 vs 8,0.49,-0.2,-0.64,-0.59,-0.69,-1.13,-1.08,-0.44,-0.39,0.73
LOC552651,stress response protein NST1,2 vs 6; 2 vs 8; 6 vs 8,0.28,0.12,-0.22,-0.09,-0.16,-0.5,-0.37,-0.34,-0.2,0.4
LOC411732,trimeric intracellular cation channel type 1B.1,2 vs 6; 2 vs 8; 6 vs 8,-0.17,-0.02,0.23,0.2,0.15,0.4,0.37,0.25,0.22,-0.56
LOC409534,uncharacterized LOC409534,2 vs 6; 2 vs 8; 6 vs 8,0.13,0.03,-0.17,-0.12,-0.1,-0.3,-0.25,-0.2,-0.15,0.29
LOC410144,rac GTPase-activating protein 1,2 vs 6; 2 vs 8; 6 vs 8,0.3,0.21,-0.07,-0.04,-0.1,-0.38,-0.35,-0.28,-0.25,0.34
LOC408979,eukaryotic translation initiation factor 5,2 vs 6; 2 vs 8; 6 vs 8,0.21,0.16,-0.18,-0.09,-0.05,-0.39,-0.3,-0.34,-0.25,0.39
LOC551724,S-adenosylmethionine decarboxylase proenzyme,2 vs 6; 2 vs 8; 6 vs 8,0.33,-0.16,-0.1,-0.02,-0.49,-0.43,-0.35,0.06,0.14,0.43
LOC725439,uncharacterized LOC725439,2 vs 6; 2 vs 8; 6 vs 8,0.47,-0.23,-0.28,-0.48,-0.7,-0.75,-0.95,-0.05,-0.25,0.95
LOC726424,metabotropic glutamate receptor,2 vs 6; 2 vs 8; 6 vs 8,0.5,-0.21,-0.18,-0.12,-0.7,-0.68,-0.62,0.02,0.08,0.78
LOC551941,uncharacterized LOC551941,2 vs 6; 2 vs 8; 6 vs 8,-0.22,0.1,0.23,0.32,0.32,0.45,0.55,0.13,0.22,-0.5
LOC410282,uncharacterized LOC410282,2 vs 8; 4 vs 8; 6 vs 8,0.34,0.24,-0.44,-0.62,-0.09,-0.77,-0.96,-0.68,-0.86,0.88
LOC551500,"phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",0 vs 2; 0 vs 4,0.36,0.28,0.13,0.16,-0.08,-0.23,-0.2,-0.15,-0.12,0.11
LOC551517,beta-TrCP,0 vs 2; 0 vs 4,0.3,0.24,0.2,0.18,-0.06,-0.1,-0.12,-0.03,-0.06,0.05
LOC724480,asparagine synthetase [glutamine-hydrolyzing],0 vs 2; 0 vs 4,-0.3,-0.3,-0.2,-0.11,-0,0.1,0.19,0.1,0.19,0.08
LOC102654498,uncharacterized LOC102654498,0 vs 2; 0 vs 4,0.61,0.57,0.34,0.27,-0.04,-0.26,-0.34,-0.22,-0.3,0.3
LOC552090,transcription factor GAGA,0 vs 2; 0 vs 4,0.29,0.25,0.16,0.08,-0.04,-0.13,-0.21,-0.09,-0.17,0.07
LOC113218887,uncharacterized LOC113218887,0 vs 2; 0 vs 4,0.82,0.91,0.5,0.53,0.08,-0.32,-0.29,-0.4,-0.38,0.2
LOC725780,ubiquitin carboxyl-terminal hydrolase calypso,0 vs 2; 0 vs 4,0.25,0.22,0.18,0.11,-0.03,-0.08,-0.15,-0.05,-0.12,-0.01
LOC100576333,nucleoredoxin,0 vs 2; 0 vs 4,0.47,0.4,0.13,0.12,-0.07,-0.34,-0.35,-0.28,-0.29,0.15
LOC413299,proteasomal ubiquitin receptor ADRM1,0 vs 2; 0 vs 4,0.34,0.33,0.22,0.21,-0.01,-0.12,-0.12,-0.11,-0.11,0.13
LOC100577454,tuftelin,0 vs 2; 0 vs 6,-0.54,-0.3,-0.38,-0.29,0.23,0.16,0.25,-0.07,0.01,0.05
LOC412813,zwei Ig domain protein zig-8,0 vs 2; 0 vs 6,0.81,0.36,0.65,0.44,-0.46,-0.16,-0.37,0.3,0.09,0.21
LOC409735,transcription initiation factor TFIID subunit 6,0 vs 2; 0 vs 6,0.28,0.18,0.23,0.11,-0.1,-0.05,-0.17,0.05,-0.07,0.06
LOC102656534,uncharacterized LOC102656534,0 vs 2; 0 vs 6,0.56,0.22,0.65,0.37,-0.34,0.09,-0.19,0.43,0.15,-0.08
LOC409401,cyclic AMP-responsive element-binding protein 1,0 vs 2; 0 vs 6,0.26,0.16,0.23,0.12,-0.1,-0.03,-0.14,0.07,-0.04,-0.21
LOC100578170,uncharacterized LOC100578170,0 vs 2; 0 vs 8,0.94,0.44,0.46,0.74,-0.5,-0.49,-0.2,0.01,0.3,0.17
LOC102654381,uncharacterized LOC102654381,0 vs 2; 0 vs 8,0.74,0.56,0.48,0.92,-0.18,-0.26,0.18,-0.08,0.36,-0.29
LOC100576412,E3 ubiquitin-protein ligase RNF8,0 vs 2; 0 vs 8,-0.64,-0.23,-0.31,-0.41,0.4,0.33,0.22,-0.07,-0.18,-0.09
LOC411419,BTB/POZ domain-containing protein KCTD3,0 vs 2; 0 vs 8,0.26,0.16,0.13,0.17,-0.1,-0.13,-0.09,-0.03,0.01,0.09
LOC552381,neutral and basic amino acid transport protein rBAT,0 vs 2; 0 vs 8,0.3,0.22,0.16,0.23,-0.09,-0.15,-0.07,-0.06,0.01,-0.08
LOC107965063,uncharacterized LOC107965063,0 vs 2; 0 vs 8,0.64,0.36,0.4,0.65,-0.28,-0.24,0,0.04,0.28,0.04
LOC411739,stromal interaction molecule homolog,0 vs 2; 0 vs 8,-0.31,-0.13,-0.17,-0.35,0.19,0.14,-0.04,-0.05,-0.22,-0.21
LOC724893,zinc finger and BTB domain-containing protein 44,0 vs 2; 0 vs 8,-0.36,-0.16,-0.14,-0.34,0.2,0.22,0.02,0.02,-0.18,-0.13
LOC550870,uncharacterized LOC550870,0 vs 2; 0 vs 8,-0.98,-0.59,-0.68,-0.88,0.39,0.3,0.1,-0.09,-0.29,-0.39
LOC409358,intraflagellar transport protein 74 homolog,0 vs 2; 0 vs 8,-0.65,-0.37,-0.29,-0.82,0.28,0.36,-0.17,0.08,-0.45,-0.06
LOC102654870,uncharacterized LOC102654870,0 vs 2; 0 vs 8,0.72,0.53,0.56,0.73,-0.19,-0.16,0.01,0.03,0.21,0.13
LOC100578464,uncharacterized LOC100578464,0 vs 2; 0 vs 8,0.57,0.46,0.29,0.57,-0.11,-0.28,-0,-0.17,0.1,0.49
LOC113218624,uncharacterized LOC113218624,0 vs 2; 0 vs 8,0.79,0.47,0.52,0.93,-0.32,-0.27,0.14,0.05,0.46,-0.16
LOC411920,ubiquitin carboxyl-terminal hydrolase 22,0 vs 2; 0 vs 8,0.26,0.18,0.15,0.22,-0.08,-0.11,-0.04,-0.02,0.05,-0
LOC409508,S-adenosylmethionine mitochondrial carrier protein,0 vs 2; 2 vs 6,0.36,0.08,0.02,0.22,-0.29,-0.34,-0.15,-0.05,0.14,0.12
LOC100577364,"FERM, ARHGEF and pleckstrin domain-containing protein 1",0 vs 2; 2 vs 8,0.4,0.18,0.16,0.12,-0.22,-0.23,-0.28,-0.02,-0.06,-0.01
LOC724885,zinc finger protein 395,0 vs 2; 2 vs 8,1,0.55,0.33,-0.12,-0.45,-0.68,-1.12,-0.23,-0.67,-0.06
LOC724508,trichoplein keratin filament-binding protein,0 vs 2; 2 vs 8,0.47,0.28,0.16,0.08,-0.19,-0.31,-0.39,-0.12,-0.2,0.1
LOC102655030,glucose-induced degradation protein 4 homolog,0 vs 2; 2 vs 8,0.4,0.17,0.15,0.09,-0.23,-0.25,-0.31,-0.02,-0.08,0.14
LOC408867,"alpha,alpha-trehalose-phosphate synthase [UDP-forming]",0 vs 2; 2 vs 8,0.59,0.15,0.38,0.14,-0.43,-0.21,-0.44,0.22,-0.01,-0.23
LOC408595,locomotion-related protein Hikaru genki,0 vs 2; 2 vs 8,0.48,0.3,0.2,0.1,-0.18,-0.28,-0.38,-0.1,-0.2,0.09
LOC410878,epoxide hydrolase 4,0 vs 2; 2 vs 8,-0.44,-0.24,-0.12,0.09,0.2,0.31,0.52,0.11,0.32,-0.18
LOC413267,protein kintoun,0 vs 2; 2 vs 8,0.57,0.29,0.33,-0.01,-0.28,-0.24,-0.58,0.05,-0.29,-0.18
LOC100578654,uncharacterized LOC100578654,0 vs 2; 2 vs 8,0.44,0.18,0.16,0.04,-0.26,-0.28,-0.4,-0.02,-0.14,0.21
LOC410952,dehydrogenase/reductase SDR family protein 7-like,0 vs 2; 2 vs 8,-0.4,-0.06,-0.1,0.01,0.34,0.3,0.41,-0.04,0.07,-0.03
LOC727497,protein SMG5,0 vs 2; 2 vs 8,0.32,0.16,0.15,0.04,-0.17,-0.18,-0.28,-0.01,-0.11,0.12
LOC552015,putative ATPase N2B,0 vs 2; 2 vs 8,-0.33,-0.06,-0.05,0.09,0.27,0.28,0.42,0.02,0.15,-0.07
LOC411881,peregrin,0 vs 2; 2 vs 8,0.31,0.23,0.21,0,-0.08,-0.11,-0.31,-0.03,-0.23,0.05
LOC413525,vacuolar protein sorting-associated protein 18 homolog,0 vs 2; 2 vs 8,-0.4,0.01,-0.02,-0.04,0.42,0.38,0.36,-0.04,-0.05,-0.31
LOC413311,lipid droplet-associated hydrolase,0 vs 2; 2 vs 8,-0.33,-0.21,-0.21,0.02,0.11,0.12,0.35,0.01,0.23,0.1
LOC102655339,uncharacterized LOC102655339,0 vs 4; 0 vs 6,0.52,0.82,0.59,0.39,0.31,0.07,-0.13,-0.23,-0.44,-0.11
LOC552524,nicotinamidase,0 vs 4; 0 vs 6,-0.33,-0.55,-0.5,-0.26,-0.21,-0.17,0.07,0.04,0.29,0.26
LOC411261,molybdenum cofactor sulfurase 1,0 vs 4; 0 vs 6,-0.26,-0.48,-0.33,-0.2,-0.22,-0.08,0.06,0.14,0.27,0.07
LOC113219305,uncharacterized LOC113219305,0 vs 4; 0 vs 6,0.45,0.66,0.53,0.35,0.21,0.08,-0.11,-0.13,-0.32,-0.13
LOC552256,peroxisomal membrane protein PEX14,0 vs 4; 0 vs 6,-0.2,-0.28,-0.18,-0.12,-0.08,0.02,0.08,0.1,0.16,0.12
LOC113219058,uncharacterized LOC113219058,0 vs 4; 0 vs 6,0.89,1.15,0.8,0.66,0.26,-0.09,-0.22,-0.35,-0.49,0.14
LOC551784,probable actin-related protein 2/3 complex subunit 2,0 vs 4; 0 vs 6,-0.21,-0.38,-0.32,-0.2,-0.17,-0.11,0.01,0.06,0.19,0.19
LOC102655523,transmembrane protein 218,0 vs 4; 0 vs 6,-0.17,-0.49,-0.48,-0.21,-0.31,-0.31,-0.03,0.01,0.28,0.22
LOC724303,AP-1 complex subunit sigma-2,0 vs 4; 0 vs 6,-0.16,-0.42,-0.41,-0.24,-0.26,-0.26,-0.09,0.01,0.18,0.15
LOC409465,uncharacterized LOC409465,0 vs 4; 0 vs 6,0.27,0.77,0.54,0.44,0.5,0.27,0.17,-0.23,-0.33,-0.39
LOC410539,protein 5NUC,0 vs 4; 0 vs 6,-0.09,-0.48,-0.31,-0.2,-0.38,-0.22,-0.1,0.16,0.28,-0.07
LOC552418,cytochrome P450 6k1,0 vs 4; 0 vs 6,-0.35,-0.77,-0.71,-0.29,-0.42,-0.36,0.06,0.06,0.49,0.22
LOC725860,synaptotagmin 13,0 vs 4; 0 vs 6,0.3,0.37,0.25,0.16,0.07,-0.05,-0.13,-0.12,-0.21,-0.12
LOC413052,uncharacterized LOC413052,0 vs 4; 0 vs 6,-0.31,-0.67,-0.5,-0.38,-0.36,-0.19,-0.07,0.17,0.29,0.11
LOC408442,bone morphogenetic protein receptor type-1B,0 vs 4; 0 vs 6,0.21,0.41,0.35,0.24,0.21,0.14,0.04,-0.06,-0.17,-0.23
LOC412503,mitochondrial dicarboxylate carrier,0 vs 4; 0 vs 6,-0.33,-0.84,-0.57,-0.46,-0.51,-0.23,-0.13,0.27,0.38,-0.03
LOC409057,uncharacterized LOC409057,0 vs 4; 0 vs 6,0.2,0.42,0.29,0.15,0.22,0.09,-0.05,-0.12,-0.27,0.03
LOC725831,uncharacterized LOC725831,0 vs 4; 0 vs 6,0.6,1.29,1.03,0.86,0.69,0.43,0.26,-0.25,-0.43,-0.36
LOC102653640,glutamate receptor 1,0 vs 4; 0 vs 6,-0.19,-0.55,-0.43,-0.31,-0.36,-0.24,-0.11,0.11,0.24,0.45
LOC100578733,nose resistant to fluoxetine protein 6,0 vs 4; 0 vs 6,-0.63,-0.79,-0.76,-0.45,-0.16,-0.13,0.18,0.03,0.34,0.37
LOC100578448,uncharacterized LOC100578448,0 vs 4; 0 vs 6,0.18,0.8,0.71,0.4,0.62,0.53,0.22,-0.09,-0.4,-0.53
LOC550987,soluble calcium-activated nucleotidase 1,0 vs 4; 0 vs 6,-0.3,-0.35,-0.41,-0.17,-0.05,-0.11,0.13,-0.06,0.18,0.22
LOC102655263,solute carrier family 25 member 35,0 vs 4; 0 vs 6,-0.23,-0.36,-0.34,-0.11,-0.13,-0.11,0.13,0.02,0.26,0.05
LOC113219316,uncharacterized LOC113219316,0 vs 4; 0 vs 6,0.71,2.1,1.6,1.39,1.39,0.9,0.68,-0.5,-0.71,-0.83
LOC100576994,uncharacterized LOC100576994,0 vs 4; 0 vs 6,-0.4,-0.92,-1.02,-0.6,-0.51,-0.61,-0.19,-0.1,0.32,0.55
LOC100577165,uncharacterized LOC100577165,0 vs 4; 0 vs 6,0.37,0.74,1.03,0.52,0.37,0.65,0.15,0.29,-0.22,-0.43
LOC551831,histone deacetylase complex subunit SAP30 homolog,0 vs 4; 0 vs 6,0.18,0.33,0.3,0.21,0.15,0.12,0.04,-0.03,-0.11,-0.05
LOC100576298,uncharacterized LOC100576298,0 vs 4; 0 vs 6,-0.39,-0.6,-0.59,-0.26,-0.21,-0.2,0.13,0.01,0.34,0.25
LOC412426,"ubiquinone biosynthesis monooxygenase COQ6, mitochondrial",0 vs 4; 0 vs 6,-0.09,-0.29,-0.27,-0.2,-0.2,-0.18,-0.11,0.02,0.09,0.15
LOC102656349,uncharacterized LOC102656349,0 vs 4; 0 vs 6,0.64,0.88,0.71,0.49,0.24,0.07,-0.15,-0.17,-0.39,-0.03
LOC102655797,uncharacterized LOC102655797,0 vs 4; 0 vs 6,0.5,1.04,0.91,0.26,0.54,0.42,-0.23,-0.13,-0.78,-0.2
LOC107965007,uncharacterized LOC107965007,0 vs 4; 0 vs 6,0.86,1.05,0.87,0.63,0.19,0.01,-0.23,-0.17,-0.42,0.13
LOC725144,uncharacterized LOC725144,0 vs 4; 0 vs 6,0.36,0.47,0.5,0.16,0.11,0.14,-0.21,0.03,-0.32,-0.17
LOC409607,ubiquitin-conjugating enzyme E2 Q2,0 vs 4; 0 vs 6,0.17,0.25,0.23,0.12,0.08,0.06,-0.05,-0.02,-0.13,-0.15
LOC100577679,origin recognition complex subunit 2,0 vs 4; 0 vs 6,-0.27,-0.49,-0.53,-0.36,-0.23,-0.26,-0.1,-0.03,0.13,0.38
LOC726024,WW domain-binding protein 4,0 vs 4; 0 vs 6,0.1,0.35,0.32,0.09,0.25,0.22,-0.01,-0.03,-0.26,-0.09
LOC413065,transmembrane protein 164,0 vs 4; 0 vs 6,-0.51,-0.54,-0.51,-0.34,-0.04,-0,0.16,0.03,0.2,0.17
LOC113218750,uncharacterized LOC113218750,0 vs 4; 0 vs 6,0.18,0.92,0.87,0.68,0.74,0.69,0.5,-0.05,-0.24,-0.32
nanos,protein nanos,0 vs 4; 0 vs 6,0.17,0.65,0.59,0.34,0.48,0.42,0.17,-0.06,-0.31,-0.3
LOC408687,putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase,0 vs 4; 0 vs 6,0.09,0.35,0.32,0.18,0.27,0.24,0.1,-0.03,-0.17,-0.08
LOC726713,tumor protein p63-regulated gene 1-like protein,0 vs 4; 0 vs 6,-0.28,-0.36,-0.33,-0.25,-0.08,-0.05,0.03,0.03,0.11,0.22
LOC409285,myosin heavy chain 95F,0 vs 4; 0 vs 6,0.11,0.36,0.32,0.22,0.26,0.21,0.12,-0.04,-0.14,-0.26
LOC102654777,organic cation transporter protein,0 vs 4; 0 vs 6,0.48,0.72,0.66,0.18,0.24,0.19,-0.29,-0.05,-0.53,-0.36
LOC413240,palmitoyltransferase ZDHHC3,0 vs 4; 0 vs 6,-0.09,-0.24,-0.29,-0.09,-0.15,-0.2,0,-0.05,0.15,0.13
LOC412764,MFS-type transporter SLC18B1,0 vs 4; 0 vs 6,-0.26,-0.57,-0.49,-0.28,-0.31,-0.23,-0.02,0.08,0.3,0.48
LOC100577149,15-hydroxyprostaglandin dehydrogenase [NAD(+)],0 vs 4; 0 vs 6,0.42,0.79,0.76,0.41,0.36,0.34,-0.01,-0.03,-0.37,-0.43
LOC551235,ATP-binding cassette sub-family E member 1,0 vs 4; 0 vs 6,-0.14,-0.24,-0.32,-0.17,-0.11,-0.18,-0.04,-0.07,0.07,0.13
LOC551448,ribose-phosphate pyrophosphokinase 1,0 vs 4; 0 vs 6,-0.14,-0.3,-0.28,-0.15,-0.17,-0.14,-0.01,0.03,0.16,0.03
Brd7,bromodomain containing 7,0 vs 4; 0 vs 6,0.29,0.3,0.28,0.04,0.01,-0,-0.25,-0.01,-0.26,-0.21
LOC552522,"alpha-(1,6)-fucosyltransferase",0 vs 4; 0 vs 6,-0.29,-0.37,-0.32,-0.2,-0.08,-0.03,0.09,0.05,0.17,0.04
LOC725409,7-methylguanosine phosphate-specific 5'-nucleotidase,0 vs 4; 0 vs 6,-0.39,-0.36,-0.42,-0.25,0.03,-0.03,0.14,-0.06,0.11,0.3
LOC551191,coiled-coil domain-containing protein 130 homolog,0 vs 4; 0 vs 6,-0.33,-0.45,-0.53,-0.35,-0.12,-0.2,-0.02,-0.08,0.1,0.32
LOC100577638,uncharacterized LOC100577638,0 vs 4; 0 vs 6,0.46,0.7,0.6,0.53,0.24,0.14,0.07,-0.1,-0.17,-0.31
LOC100576614,probable ATP-dependent RNA helicase ddx42,0 vs 4; 0 vs 6,0.33,0.43,0.51,0.33,0.1,0.18,0,0.08,-0.1,-0.08
LOC725056,glyoxylate/hydroxypyruvate reductase A,0 vs 4; 0 vs 6,-0.17,-0.34,-0.37,-0.27,-0.16,-0.2,-0.09,-0.04,0.07,0.31
LOC726220,pyroglutamyl-peptidase 1,0 vs 4; 0 vs 6,-0.34,-0.41,-0.36,-0.1,-0.06,-0.02,0.25,0.04,0.31,0.17
LOC412993,"glutamate receptor ionotropic, kainate 2",0 vs 4; 0 vs 6,0.27,0.44,0.41,0.29,0.17,0.14,0.02,-0.03,-0.15,-0.23
LOC100576850,RNA 3'-terminal phosphate cyclase-like protein,0 vs 4; 0 vs 6,-0.26,-0.26,-0.33,-0.13,0,-0.07,0.13,-0.07,0.13,0.19
LOC113219364,uncharacterized LOC113219364,0 vs 4; 0 vs 8,-0.82,-1.8,-0.6,-1.05,-0.98,0.22,-0.23,1.2,0.75,0.13
LOC113219373,uncharacterized LOC113219373,0 vs 4; 0 vs 8,-0.72,-1.69,-0.52,-1.34,-0.97,0.2,-0.62,1.17,0.35,-0.14
LOC100576828,protein maelstrom homolog,0 vs 4; 0 vs 8,-0.36,-0.55,-0.15,-0.34,-0.19,0.21,0.02,0.4,0.21,0.08
LOC107964432,uncharacterized LOC107964432,0 vs 4; 0 vs 8,0.64,1.24,0.74,0.77,0.6,0.1,0.13,-0.5,-0.47,-0.18
Tert,telomerase reverse transcriptase,0 vs 4; 0 vs 8,-0.52,-0.71,-0.46,-0.75,-0.18,0.07,-0.22,0.25,-0.04,-0.01
LOC725964,uncharacterized LOC725964,0 vs 4; 0 vs 8,0.15,0.79,0.37,0.7,0.64,0.22,0.55,-0.42,-0.09,-0.07
LOC102654700,protein MEMO1,0 vs 4; 0 vs 8,-0.27,-0.32,-0.19,-0.24,-0.05,0.09,0.03,0.13,0.08,0.05
LOC412744,WD repeat domain phosphoinositide-interacting protein 4,0 vs 4; 0 vs 8,0.3,0.38,0.24,0.26,0.08,-0.06,-0.05,-0.14,-0.13,0.03
LOC100578193,uncharacterized LOC100578193,0 vs 4; 0 vs 8,0.32,0.75,0.47,0.51,0.43,0.15,0.19,-0.28,-0.24,0.01
LOC551488,uncharacterized LOC551488,0 vs 4; 0 vs 8,0.24,0.38,0.22,0.35,0.14,-0.02,0.11,-0.16,-0.02,0.05
LOC100577629,uncharacterized LOC100577629,0 vs 4; 0 vs 8,0.22,0.59,0.37,0.43,0.37,0.15,0.21,-0.22,-0.16,-0.21
LOC725394,solute carrier family 26 member 6-like,0 vs 4; 0 vs 8,-0.33,-0.49,-0.32,-0.4,-0.16,0,-0.07,0.16,0.08,-0.01
LOC408452,cytochrome P450 9e2,0 vs 4; 0 vs 8,0.5,0.88,0.33,0.62,0.38,-0.18,0.12,-0.55,-0.26,0.1
LOC107964798,uncharacterized LOC107964798,0 vs 4; 0 vs 8,0.29,0.5,0.32,0.38,0.21,0.03,0.09,-0.18,-0.12,-0.12
LOC409179,4-hydroxybutyrate coenzyme A transferase,0 vs 4; 0 vs 8,-0.23,-0.38,-0.23,-0.38,-0.15,0,-0.16,0.15,-0,-0.02
LOC102653690,uncharacterized LOC102653690,0 vs 4; 0 vs 8,0.43,0.73,0.42,0.56,0.3,-0.01,0.13,-0.31,-0.17,-0.03
LOC102656787,uncharacterized LOC102656787,0 vs 4; 0 vs 8,1.05,1.29,0.33,1.15,0.25,-0.72,0.1,-0.96,-0.15,0.6
LOC102654142,uncharacterized LOC102654142,0 vs 4; 0 vs 8,0.57,0.73,0.56,0.58,0.15,-0.01,0.01,-0.16,-0.14,0.06
LOC551419,alkaline ceramidase,0 vs 4; 0 vs 8,0.18,0.32,0.2,0.37,0.13,0.01,0.19,-0.12,0.06,0.15
LOC113218525,uncharacterized LOC113218525,0 vs 4; 0 vs 8,0.73,0.78,0.6,0.87,0.05,-0.13,0.14,-0.18,0.09,-0.18
LOC107964882,uncharacterized LOC107964882,0 vs 4; 0 vs 8,0.52,0.79,0.6,0.79,0.27,0.08,0.27,-0.19,0,0.14
LOC113218844,uncharacterized LOC113218844,0 vs 4; 0 vs 8,0.82,0.92,0.5,0.81,0.1,-0.32,-0.01,-0.42,-0.11,-0.06
LOC100577939,probable serine/threonine-protein kinase kinX,0 vs 4; 0 vs 8,-0.32,-0.75,-0.28,-0.6,-0.42,0.04,-0.28,0.46,0.15,0.01
LOC727092,protein nubbin,0 vs 4; 0 vs 8,-0.42,-1.07,-0.73,-0.98,-0.65,-0.3,-0.56,0.34,0.09,-0.11
LOC550962,exonuclease 1,0 vs 4; 0 vs 8,-0.33,-0.41,-0.24,-0.61,-0.08,0.1,-0.27,0.18,-0.2,0.09
LOC724356,RING finger protein 17,0 vs 4; 0 vs 8,-0.45,-0.48,-0.33,-0.44,-0.04,0.11,0.01,0.15,0.05,-0.03
LOC102653753,nibrin,0 vs 4; 0 vs 8,-0.53,-0.55,-0.34,-0.52,-0.01,0.19,0.02,0.2,0.03,-0.1
LOC411760,metabotropic glutamate receptor 7,0 vs 4; 0 vs 8,-0.42,-1.21,-1.01,-0.97,-0.79,-0.59,-0.55,0.2,0.24,0.3
LOC100578543,uncharacterized LOC100578543,0 vs 4; 0 vs 8,1.32,1.24,1.05,1.17,-0.08,-0.27,-0.15,-0.19,-0.06,-0.34
LOC100577742,uncharacterized LOC100577742,0 vs 4; 0 vs 8,-0.33,-0.65,-0.51,-0.74,-0.32,-0.18,-0.41,0.14,-0.09,-0.08
LOC408310,caveolin-3,0 vs 4; 0 vs 8,0.43,0.83,0.42,0.71,0.4,-0.02,0.27,-0.42,-0.13,-0.18
LOC100577815,uncharacterized LOC100577815,0 vs 4; 0 vs 8,0.52,0.79,0.5,0.83,0.27,-0.02,0.31,-0.29,0.04,-0.22
LOC408965,glutamate receptor-interacting protein 1,0 vs 4; 0 vs 8,0.47,0.58,0.43,0.68,0.11,-0.05,0.21,-0.15,0.1,0.06
LOC113218658,uncharacterized LOC113218658,0 vs 4; 0 vs 8,0.54,0.72,0.57,0.6,0.17,0.02,0.05,-0.15,-0.12,-0.22
LOC102653894,uncharacterized LOC102653894,0 vs 4; 0 vs 8,0.29,0.64,0.49,0.51,0.35,0.2,0.22,-0.14,-0.13,-0.23
LOC726352,transmembrane protease serine 11B-like protein,0 vs 4; 0 vs 8,0.13,0.65,0.44,0.65,0.53,0.31,0.52,-0.21,-0.01,0.11
LOC100577214,protein giant-lens,0 vs 4; 0 vs 8,0.21,0.49,0.39,0.59,0.28,0.18,0.38,-0.1,0.1,-0.29
LOC725774,BLOC-1-related complex subunit 7,0 vs 4; 0 vs 8,0.45,0.63,0.54,0.74,0.18,0.09,0.29,-0.09,0.11,0.04
LOC726108,E3 ubiquitin-protein ligase MSL2,0 vs 4; 0 vs 8,0.1,0.41,0.33,0.4,0.31,0.23,0.3,-0.08,-0.01,-0.33
LOC100578901,DPH3 homolog,0 vs 4; 0 vs 8,-0.43,-0.51,-0.38,-0.47,-0.08,0.05,-0.05,0.13,0.04,0.27
LOC100577602,uncharacterized LOC100577602,0 vs 4; 0 vs 8,-0.69,-0.64,-0.53,-0.69,0.05,0.16,-0,0.11,-0.05,-0.08
LOC724118,mitochondrial fission regulator 2,0 vs 4; 0 vs 8,-0.48,-0.44,-0.35,-0.48,0.04,0.13,0,0.09,-0.04,0.01
